epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11775.9,0.54046,0.37342,0.93809,0.97959,0.91709,0.95522,0.86774,0.49411,0.29675,0.93161,0.007228,0.007228,0.007228
44,12049.6,0.54027,0.36294,0.94089,0.98403,0.91157,0.95418,0.86427,0.49809,0.29979,0.93457,0.007162,0.007162,0.007162
45,12322.5,0.53015,0.35654,0.93933,0.97679,0.90801,0.95173,0.8631,0.49295,0.30308,0.93151,0.007096,0.007096,0.007096
46,12596.3,0.54479,0.36489,0.94935,0.97933,0.91778,0.954,0.86638,0.4961,0.2987,0.93133,0.00703,0.00703,0.00703
47,12870.4,0.53291,0.35708,0.93679,0.98304,0.91762,0.95486,0.86627,0.49385,0.29197,0.93055,0.006964,0.006964,0.006964
48,13144.6,0.53626,0.3576,0.94043,0.98463,0.91194,0.95373,0.86958,0.49018,0.29339,0.93035,0.006898,0.006898,0.006898
49,13418.8,0.53108,0.34804,0.93635,0.9857,0.92085,0.95579,0.87044,0.48895,0.28546,0.92795,0.006832,0.006832,0.006832
50,13693.3,0.52469,0.35199,0.93264,0.98427,0.91116,0.95546,0.86944,0.48983,0.28948,0.92903,0.006766,0.006766,0.006766
51,13967,0.52137,0.34993,0.93425,0.97486,0.91536,0.9554,0.86902,0.48676,0.2911,0.9243,0.0067,0.0067,0.0067
52,14240.9,0.52343,0.34922,0.93345,0.98251,0.90876,0.95499,0.86808,0.48475,0.28818,0.92495,0.006634,0.006634,0.006634
53,14515.7,0.51725,0.33562,0.9332,0.98358,0.91675,0.95483,0.87204,0.48883,0.28823,0.9274,0.006568,0.006568,0.006568
54,14790.6,0.51234,0.33604,0.92897,0.98457,0.91855,0.95413,0.87018,0.48483,0.28692,0.92685,0.006502,0.006502,0.006502
55,15064.6,0.51343,0.33596,0.92791,0.98533,0.9194,0.95728,0.87306,0.4783,0.28032,0.9237,0.006436,0.006436,0.006436
56,15338.9,0.50838,0.3338,0.92931,0.98663,0.90748,0.95131,0.87041,0.47882,0.28079,0.92301,0.00637,0.00637,0.00637
57,15612.9,0.50578,0.33012,0.92401,0.9812,0.91942,0.9581,0.87545,0.47575,0.27428,0.92305,0.006304,0.006304,0.006304
58,15887.6,0.51289,0.33569,0.93088,0.98465,0.91601,0.95619,0.87422,0.47752,0.27733,0.92257,0.006238,0.006238,0.006238
59,16162,0.50208,0.33598,0.92478,0.98193,0.9167,0.95701,0.87571,0.47915,0.27988,0.92288,0.006172,0.006172,0.006172
60,16436.7,0.50411,0.33124,0.92448,0.97998,0.91656,0.9571,0.87529,0.4755,0.28575,0.92375,0.006106,0.006106,0.006106
61,16711.4,0.50134,0.32971,0.92197,0.98464,0.9176,0.95678,0.87433,0.4765,0.27754,0.92318,0.00604,0.00604,0.00604
62,16986,0.49716,0.32685,0.92435,0.98415,0.91778,0.9562,0.87523,0.47446,0.27908,0.92127,0.005974,0.005974,0.005974
63,17260.4,0.50061,0.3294,0.92376,0.98416,0.92138,0.95886,0.87869,0.47172,0.27778,0.91863,0.005908,0.005908,0.005908
64,17534.9,0.49939,0.32549,0.92448,0.98225,0.92204,0.95983,0.87681,0.47284,0.27545,0.91716,0.005842,0.005842,0.005842
65,17809.2,0.49718,0.32642,0.92481,0.98121,0.92396,0.95867,0.879,0.47187,0.27685,0.92104,0.005776,0.005776,0.005776
66,18083.7,0.49688,0.32267,0.91809,0.98225,0.92532,0.95884,0.87961,0.46788,0.27107,0.91906,0.00571,0.00571,0.00571
67,18357.7,0.49063,0.31696,0.91477,0.97793,0.92644,0.95894,0.88155,0.46408,0.26923,0.9196,0.005644,0.005644,0.005644
68,18632.9,0.48717,0.31674,0.91894,0.98355,0.92098,0.9594,0.87915,0.46782,0.27211,0.91341,0.005578,0.005578,0.005578
69,18906.6,0.47943,0.31261,0.91354,0.98552,0.922,0.96131,0.88233,0.46675,0.26882,0.91535,0.005512,0.005512,0.005512
70,19181.1,0.48169,0.31094,0.91437,0.98298,0.9255,0.96104,0.88152,0.46639,0.2724,0.91618,0.005446,0.005446,0.005446
71,19456,0.47055,0.30477,0.90832,0.97953,0.92367,0.9625,0.88346,0.46768,0.275,0.92032,0.00538,0.00538,0.00538
72,19730.7,0.47397,0.30664,0.90994,0.98428,0.9206,0.96067,0.88186,0.46447,0.27248,0.91612,0.005314,0.005314,0.005314
73,20005,0.47098,0.30322,0.90954,0.98753,0.92177,0.96002,0.88479,0.4586,0.26747,0.91266,0.005248,0.005248,0.005248
74,20279.7,0.46621,0.30012,0.90644,0.98656,0.91971,0.9613,0.88084,0.46105,0.26549,0.91186,0.005182,0.005182,0.005182
75,20554.7,0.47482,0.30467,0.91502,0.98583,0.9243,0.96011,0.88075,0.4619,0.26353,0.91516,0.005116,0.005116,0.005116
76,20829.1,0.46663,0.30084,0.9096,0.98284,0.92319,0.96324,0.88396,0.46234,0.26418,0.91564,0.00505,0.00505,0.00505
77,21103.8,0.46458,0.29932,0.90491,0.98007,0.92469,0.95969,0.87978,0.4613,0.265,0.91629,0.004984,0.004984,0.004984
78,21378.2,0.46867,0.29933,0.90916,0.97767,0.93172,0.96049,0.88192,0.46271,0.26378,0.92023,0.004918,0.004918,0.004918
79,21653.1,0.46461,0.29311,0.91132,0.98361,0.92196,0.95809,0.87905,0.46063,0.26156,0.91895,0.004852,0.004852,0.004852
80,21928.1,0.46415,0.29428,0.90515,0.98358,0.92729,0.95801,0.87975,0.46124,0.26188,0.91767,0.004786,0.004786,0.004786
81,22201.8,0.46083,0.29463,0.91119,0.98436,0.92194,0.95867,0.88229,0.4581,0.26236,0.91594,0.00472,0.00472,0.00472
82,22476.7,0.45645,0.29077,0.90534,0.98728,0.92257,0.95855,0.88203,0.4585,0.26293,0.91753,0.004654,0.004654,0.004654
83,22750.7,0.45699,0.28953,0.90465,0.98627,0.92852,0.9608,0.88524,0.45628,0.25679,0.91462,0.004588,0.004588,0.004588
84,23025.5,0.45016,0.29127,0.90368,0.98429,0.92136,0.96012,0.88507,0.45707,0.25821,0.91687,0.004522,0.004522,0.004522
